User_ID,가입일자,가입경로,기기,알림수신동의여부,signup_during_outage,total_events,active_days,last_active_date,routine_types_used,onboard_completed,days_to_onboard,active_days_7d,routine_count_7d,challenge_join_7d,challenge_explore_7d,notif_received,notif_opened,notif_open_rate,notif_ad_count,retained_d30,retained_d30_onboard,is_zero_event,consent_revoked,d30_window_hit_outage
U0000020,2025-02-07,퍼포먼스광고,Android,동의,False,66,13,2025-02-21,4,True,0.0,7,19,False,False,13,2,0.15384615384615385,1,False,False,False,False,False
U0000021,2025-03-28,오가닉,iOS,동의,False,32,7,2025-04-03,3,False,,7,10,False,False,7,0,,4,False,,False,False,False
U0000022,2025-05-24,퍼포먼스광고,iOS,미동의,False,216,31,2025-06-30,4,True,0.0,7,20,True,True,0,0,,0,True,True,False,False,False
U0000023,2025-02-25,퍼포먼스광고,iOS,동의,False,254,58,2025-05-25,4,False,,7,15,False,False,58,5,0.08620689655172414,26,True,,False,False,False
U0000024,2025-01-23,오가닉,Android,동의,False,58,3,2025-01-25,4,False,,3,18,True,True,3,0,,0,False,,False,False,False
U0000025,2025-05-11,오가닉,iOS,동의,False,54,9,2025-05-21,4,True,0.0,7,15,False,False,9,1,0.1111111111111111,5,False,False,False,False,False
U0000026,2025-05-17,퍼포먼스광고,iOS,미동의,False,54,8,2025-05-24,4,True,0.0,7,17,True,True,0,0,,0,False,False,False,False,False
U0000027,2025-02-09,퍼포먼스광고,iOS,동의,False,245,55,2025-05-09,4,False,,7,22,False,False,54,7,0.12962962962962962,20,True,,False,False,True
U0000028,2025-03-01,퍼포먼스광고,iOS,동의,False,513,78,2025-05-28,4,False,,7,41,True,True,78,6,0.07692307692307693,35,True,,False,True,False
U0000029,2025-01-28,오가닉,Android,미동의,False,6,1,2025-01-28,1,True,0.0,1,1,True,True,0,0,,0,False,False,False,False,False
U0000030,2025-01-03,퍼포먼스광고,Android,동의,False,22,5,2025-01-07,3,True,0.0,5,5,False,False,5,1,0.2,0,False,False,False,False,False
U0000031,2025-02-13,퍼포먼스광고,Android,동의,False,17,1,2025-02-13,4,True,0.0,1,6,True,True,1,1,1.0,0,False,False,False,False,True
U0000032,2025-05-25,퍼포먼스광고,Android,동의,False,53,10,2025-06-06,4,False,,7,14,True,True,10,0,,4,False,,False,False,False
U0000033,2025-02-28,퍼포먼스광고,iOS,미동의,False,173,63,2025-05-28,4,False,,7,12,False,False,0,0,,0,True,,False,True,False
U0000034,2025-05-04,퍼포먼스광고,iOS,동의,False,386,54,2025-06-30,4,True,0.0,7,22,True,True,53,1,0.018867924528301886,30,True,True,False,False,False
U0000035,2025-01-13,오가닉,iOS,동의,False,514,81,2025-04-12,4,False,,7,10,False,False,81,13,0.16049382716049382,19,True,,False,False,False
U0000036,2025-02-10,퍼포먼스광고,iOS,동의,False,14,1,2025-02-10,3,False,,1,3,True,True,1,0,,0,False,,False,False,True
U0000037,2025-02-25,오가닉,iOS,미동의,False,60,6,2025-03-02,4,True,0.0,6,18,True,True,0,0,,0,False,False,False,True,False
U0000038,2025-04-14,퍼포먼스광고,iOS,동의,False,43,10,2025-04-23,4,True,0.0,7,6,True,True,10,1,0.1,4,False,False,False,False,False
U0000039,2025-05-13,오가닉,Android,미동의,False,6,1,2025-05-13,2,False,,1,2,True,True,0,0,,0,False,,False,True,False
U0000040,2025-02-18,퍼포먼스광고,Android,미동의,False,25,3,2025-02-20,3,True,0.0,3,11,True,True,0,0,,0,False,False,False,False,False
U0000041,2025-05-14,퍼포먼스광고,Android,동의,False,165,36,2025-06-30,4,True,0.0,7,15,True,True,36,5,0.1388888888888889,20,True,True,False,False,False
U0000042,2025-02-27,퍼포먼스광고,iOS,동의,False,123,27,2025-04-04,4,False,,7,12,False,False,27,2,0.07407407407407407,8,True,,False,False,False
U0000043,2025-04-21,오가닉,iOS,동의,False,13,1,2025-04-21,3,False,,1,4,True,True,1,0,,0,False,,False,True,False
U0000044,2025-05-08,Unknown,Android,동의,False,3,1,2025-05-08,0,False,,1,0,False,False,1,0,,1,False,,False,False,False
U0000045,2025-02-26,퍼포먼스광고,iOS,미동의,False,5,1,2025-02-26,2,False,,1,3,False,False,0,0,,0,False,,False,True,False
U0000046,2025-04-29,퍼포먼스광고,iOS,미동의,False,67,15,2025-05-20,4,True,0.0,7,17,True,True,0,0,,0,False,False,False,False,False
U0000047,2025-02-09,퍼포먼스광고,iOS,동의,False,87,16,2025-02-26,4,False,,7,19,False,False,16,3,0.1875,3,False,,False,False,True
U0000048,2025-02-14,오가닉,iOS,동의,False,213,56,2025-05-14,4,True,0.0,7,8,True,True,55,1,0.01818181818181818,18,True,True,False,False,True
U0000049,2025-01-19,퍼포먼스광고,iOS,동의,False,85,12,2025-01-30,4,False,,7,22,False,False,12,4,0.3333333333333333,2,False,,False,False,False
U0000050,2025-03-02,오가닉,iOS,미동의,False,9,1,2025-03-02,2,False,,1,4,False,False,0,0,,0,False,,False,False,False
U0000051,2025-03-24,퍼포먼스광고,iOS,동의,False,552,84,2025-06-21,4,True,0.0,7,26,True,True,84,10,0.11904761904761904,44,True,True,False,False,False
U0000052,2025-05-08,퍼포먼스광고,iOS,동의,False,330,45,2025-06-30,4,False,,7,21,True,True,45,4,0.08888888888888889,31,True,,False,False,False
U0000053,2025-01-19,오가닉,iOS,미동의,False,20,1,2025-01-19,3,False,,1,8,True,True,0,0,,0,False,,False,False,False
U0000054,2025-02-12,오가닉,iOS,미동의,False,51,7,2025-03-01,4,False,,6,20,True,True,1,0,,1,False,,False,False,True
U0000055,2025-01-15,오가닉,Android,미동의,False,26,5,2025-01-19,4,False,,5,11,True,True,0,0,,0,False,,False,True,False
U0000056,2025-05-15,오가닉,Android,동의,False,101,21,2025-06-07,4,True,0.0,7,15,True,True,21,0,,14,False,False,False,False,False
U0000057,2025-05-19,오가닉,iOS,동의,False,35,3,2025-05-21,4,False,,3,14,False,False,3,0,,3,False,,False,False,False
U0000058,2025-02-02,오가닉,iOS,동의,False,8,1,2025-02-02,1,True,0.0,1,2,True,True,1,0,,0,False,False,False,True,False
U0000059,2025-05-18,퍼포먼스광고,Android,동의,False,158,31,2025-06-30,4,True,0.0,7,22,True,True,31,1,0.03225806451612903,25,True,True,False,False,False
U0000060,2025-02-23,오가닉,iOS,동의,False,295,61,2025-05-23,4,False,,7,16,True,True,61,5,0.08196721311475409,26,True,,False,False,False
U0000061,2025-02-08,오가닉,Android,동의,False,33,3,2025-02-10,4,True,0.0,3,10,True,True,3,0,,0,False,False,False,True,True
U0000062,2025-03-28,오가닉,iOS,동의,False,25,4,2025-03-31,3,False,,4,6,True,True,4,0,,2,False,,False,True,False
U0000063,2025-02-17,오가닉,Android,미동의,False,52,12,2025-03-09,4,True,0.0,7,21,True,True,1,0,,0,False,False,False,False,False
U0000064,2025-05-24,오가닉,Android,동의,False,119,26,2025-06-24,4,False,,7,13,True,False,26,0,,14,True,,False,False,False
U0000065,2025-03-28,퍼포먼스광고,Android,동의,False,263,51,2025-06-23,4,False,,7,16,True,True,51,7,0.13725490196078433,28,True,,False,False,False
U0000066,2025-05-25,오가닉,Unknown,동의,False,310,34,2025-06-30,4,True,0.0,7,31,True,True,34,2,0.058823529411764705,18,True,True,False,False,False
U0000067,2025-05-22,오가닉,Android,동의,False,21,3,2025-05-24,3,False,,3,7,True,True,3,0,,2,False,,False,False,False
U0000068,2025-02-01,퍼포먼스광고,Android,동의,False,83,6,2025-02-06,4,True,0.0,6,18,True,True,6,1,0.16666666666666666,0,False,False,False,False,False
U0000069,2025-02-22,퍼포먼스광고,Android,동의,False,29,8,2025-03-01,4,False,,7,4,True,True,8,0,,0,False,,False,True,False
U0000070,2025-03-29,오가닉,Android,미동의,False,30,6,2025-04-03,4,True,0.0,6,15,False,False,0,0,,0,False,False,False,True,False
U0000071,2025-03-25,퍼포먼스광고,iOS,동의,False,60,8,2025-04-01,4,False,,7,21,True,True,8,1,0.125,4,False,,False,False,False
U0000072,2025-02-18,퍼포먼스광고,Android,미동의,False,199,55,2025-05-18,4,True,0.0,7,13,True,True,0,0,,0,True,True,False,False,False
U0000073,2025-03-28,오가닉,iOS,미동의,False,14,1,2025-03-28,3,True,0.0,1,5,True,True,0,0,,0,False,False,False,True,False
U0000074,2025-04-06,오가닉,iOS,동의,False,18,3,2025-04-08,2,False,,3,3,True,True,3,1,0.3333333333333333,1,False,,False,False,False
U0000075,2025-04-18,퍼포먼스광고,iOS,미동의,False,493,70,2025-06-30,4,True,0.0,7,38,True,True,0,0,,0,True,True,False,False,False
U0000076,2025-02-13,퍼포먼스광고,Android,동의,False,197,50,2025-05-10,4,True,0.0,7,15,True,True,50,8,0.16,16,True,True,False,False,True
U0000077,2025-01-18,퍼포먼스광고,Android,미동의,False,137,14,2025-01-31,4,False,,7,24,True,True,0,0,,0,False,,False,False,False
U0000078,2025-04-27,오가닉,iOS,동의,False,33,6,2025-05-02,4,True,0.0,6,11,True,True,6,3,0.5,0,False,False,False,False,False
U0000079,2025-01-05,오가닉,iOS,동의,False,8,1,2025-01-05,1,True,0.0,1,1,True,True,1,1,1.0,0,False,False,False,False,False
U0000080,2025-02-06,오가닉,Android,동의,False,461,74,2025-05-06,4,True,0.0,7,29,True,True,74,10,0.13513513513513514,19,True,True,False,False,False
U0000081,2025-05-01,퍼포먼스광고,Android,동의,False,61,10,2025-05-10,4,False,,7,22,True,True,10,1,0.1,7,False,,False,False,False
U0000082,2025-01-10,퍼포먼스광고,iOS,동의,False,58,12,2025-01-22,4,True,0.0,7,14,True,True,12,0,,0,False,False,False,False,False
U0000083,2025-02-02,오가닉,Android,동의,False,16,2,2025-02-03,2,False,,2,3,True,True,2,1,0.5,0,False,,False,False,False
U0000084,2025-02-25,퍼포먼스광고,Unknown,동의,False,489,77,2025-05-25,4,True,0.0,7,23,True,True,78,7,0.08974358974358974,32,True,True,False,False,False
U0000085,2025-02-06,퍼포먼스광고,iOS,미동의,False,361,71,2025-05-06,4,True,0.0,7,16,True,True,0,0,,0,True,True,False,False,False
U0000086,2025-02-16,오가닉,iOS,동의,False,255,60,2025-05-16,4,False,,7,12,False,False,60,5,0.08333333333333333,25,True,,False,False,False
U0000087,2025-01-27,퍼포먼스광고,iOS,미동의,False,195,58,2025-04-25,4,False,,7,17,False,False,0,0,,0,True,,False,False,False
U0000088,2025-01-25,퍼포먼스광고,iOS,동의,False,90,16,2025-02-14,4,True,0.0,7,21,True,True,16,4,0.25,2,False,False,False,False,False
U0000089,2025-01-18,퍼포먼스광고,Android,미동의,False,26,7,2025-01-24,3,False,,7,5,True,True,0,0,,0,False,,False,False,False
U0000090,2025-01-28,퍼포먼스광고,iOS,미동의,False,8,1,2025-01-28,3,False,,1,5,False,False,0,0,,0,False,,False,False,False
U0000091,2025-01-26,퍼포먼스광고,Android,동의,False,28,4,2025-01-29,3,True,0.0,4,11,True,True,4,0,,1,False,False,False,False,False
U0000092,2025-01-06,퍼포먼스광고,Android,동의,False,60,15,2025-01-23,4,False,,7,14,False,False,15,0,,3,False,,False,False,False
U0000093,2025-04-08,퍼포먼스광고,iOS,동의,False,21,4,2025-04-11,3,False,,4,5,False,False,4,0,,0,False,,False,False,False
U0000094,2025-03-29,퍼포먼스광고,iOS,동의,False,8,1,2025-03-29,2,True,0.0,1,3,False,False,1,0,,0,False,False,False,False,False
U0000095,2025-02-23,오가닉,Android,동의,False,11,1,2025-02-23,3,True,0.0,1,4,True,True,1,1,1.0,0,False,False,False,True,False
U0000096,2025-01-23,퍼포먼스광고,iOS,동의,False,211,50,2025-04-20,4,False,,7,14,False,False,50,9,0.18,9,True,,False,False,False
U0000097,2025-02-01,오가닉,Android,동의,False,577,80,2025-05-01,4,False,,7,32,True,True,79,10,0.12658227848101267,21,True,,False,False,False
U0000098,2025-03-17,오가닉,iOS,동의,False,81,11,2025-03-28,4,True,0.0,7,21,True,True,11,0,,6,False,False,False,False,False
U0000099,2025-02-09,퍼포먼스광고,Android,동의,False,510,72,2025-05-09,4,False,,7,39,True,True,71,8,0.11267605633802817,23,True,,False,False,True
U0000100,2025-04-05,오가닉,Android,미동의,False,4,1,2025-04-05,0,True,0.0,1,0,False,False,0,0,,0,False,False,False,False,False
U0000101,2025-02-16,퍼포먼스광고,Android,동의,False,9,1,2025-02-16,2,True,0.0,1,2,True,True,1,0,,0,False,False,False,False,False
U0000102,2025-02-09,오가닉,iOS,동의,False,62,13,2025-02-23,4,False,,7,12,False,False,13,5,0.38461538461538464,2,False,,False,False,True
U0000103,2025-05-05,오가닉,Android,미동의,False,78,18,2025-05-27,4,True,0.0,7,20,True,True,0,0,,0,False,False,False,False,False
U0000104,2025-01-30,오가닉,Android,동의,False,14,4,2025-02-02,3,False,,4,3,False,False,4,0,,1,False,,False,True,False
U0000105,2025-01-19,퍼포먼스광고,iOS,동의,False,511,78,2025-04-18,4,True,0.0,7,16,True,True,78,10,0.1282051282051282,19,True,True,False,False,False
U0000106,2025-05-22,오가닉,iOS,동의,False,72,14,2025-06-05,4,True,0.0,7,13,True,True,14,2,0.14285714285714285,8,False,False,False,False,False
U0000107,2025-05-19,퍼포먼스광고,Android,동의,False,81,7,2025-05-25,4,True,0.0,7,19,True,True,7,0,,5,False,False,False,False,False
U0000108,2025-01-23,오가닉,Android,동의,False,27,3,2025-01-25,3,True,0.0,3,7,True,True,3,0,,0,False,False,False,True,False
U0000109,2025-01-24,오가닉,iOS,미동의,False,207,53,2025-04-23,4,True,0.0,7,17,True,True,0,0,,0,True,True,False,False,False
U0000110,2025-02-14,오가닉,iOS,동의,False,513,74,2025-05-14,4,False,,7,41,True,True,73,7,0.0958904109589041,22,True,,False,False,True
U0000111,2025-02-27,퍼포먼스광고,iOS,미동의,False,32,8,2025-03-06,4,False,,7,13,True,False,0,0,,0,False,,False,False,False
U0000112,2025-04-29,퍼포먼스광고,iOS,동의,False,110,21,2025-05-22,4,False,,7,17,True,True,21,1,0.047619047619047616,17,False,,False,True,False
U0000113,2025-03-10,퍼포먼스광고,Unknown,동의,True,0,0,,0,False,,0,0,False,False,0,0,,0,False,,True,False,False
U0000114,2025-02-04,오가닉,Android,미동의,False,393,74,2025-05-04,4,True,0.0,7,29,True,True,0,0,,0,True,True,False,False,False
U0000115,2025-03-20,오가닉,Android,미동의,False,25,2,2025-03-21,4,False,,2,12,True,True,0,0,,0,False,,False,True,False
U0000116,2025-02-18,퍼포먼스광고,iOS,동의,False,244,31,2025-03-25,4,False,,7,23,True,True,31,8,0.25806451612903225,6,True,,False,False,False
U0000117,2025-02-18,오가닉,iOS,미동의,False,6,1,2025-02-18,2,False,,1,2,False,False,0,0,,0,False,,False,False,False
U0000118,2025-02-02,퍼포먼스광고,iOS,동의,False,15,2,2025-02-03,2,False,,2,3,True,True,2,0,,0,False,,False,True,False
U0000119,2025-05-19,오가닉,iOS,동의,False,45,3,2025-05-21,4,True,0.0,3,11,True,True,3,0,,3,False,False,False,False,False
U0000120,2025-01-23,오가닉,iOS,미동의,False,23,4,2025-01-26,3,True,0.0,4,6,True,True,0,0,,0,False,False,False,False,False
U0000121,2025-01-16,오가닉,Android,동의,False,242,57,2025-04-15,4,False,,7,16,True,True,57,9,0.15789473684210525,9,True,,False,False,False
U0000122,2025-03-16,퍼포먼스광고,iOS,동의,False,34,6,2025-03-21,4,False,,6,12,False,False,6,2,0.3333333333333333,3,False,,False,False,False
U0000123,2025-03-15,퍼포먼스광고,Android,동의,False,226,50,2025-06-12,4,False,,7,13,False,False,49,8,0.16326530612244897,19,True,,False,True,False
U0000124,2025-01-23,퍼포먼스광고,iOS,동의,False,37,3,2025-01-25,4,False,,3,10,True,True,3,1,0.3333333333333333,0,False,,False,False,False
U0000125,2025-03-18,오가닉,iOS,동의,False,521,74,2025-06-15,4,False,,7,26,True,True,74,9,0.12162162162162163,32,True,,False,False,False
U0000126,2025-02-13,오가닉,Android,동의,False,600,83,2025-05-13,4,True,0.0,7,35,True,True,83,12,0.14457831325301204,32,True,True,False,False,True
U0000127,2025-02-15,오가닉,iOS,동의,False,24,4,2025-02-18,4,False,,4,10,False,False,4,0,,0,False,,False,False,False
U0000128,2025-02-14,퍼포먼스광고,Android,동의,False,267,62,2025-05-14,4,False,,7,2,False,False,61,11,0.18032786885245902,20,True,,False,False,True
U0000129,2025-01-22,오가닉,iOS,미동의,False,63,8,2025-01-29,4,False,,7,19,True,True,0,0,,0,False,,False,False,False
U0000130,2025-05-17,오가닉,Android,동의,False,19,3,2025-05-19,1,False,,3,1,True,True,3,0,,2,False,,False,False,False
U0000131,2025-02-15,오가닉,iOS,미동의,False,190,57,2025-05-13,4,True,0.0,7,19,True,True,0,0,,0,True,True,False,False,False
U0000132,2025-02-26,오가닉,Android,동의,False,58,10,2025-03-07,4,False,,7,11,False,False,10,1,0.1,1,False,,False,False,False
U0000133,2025-01-12,오가닉,iOS,동의,False,15,4,2025-01-15,3,False,,4,4,False,False,4,1,0.25,0,False,,False,False,False
U0000134,2025-02-26,퍼포먼스광고,iOS,동의,False,187,51,2025-05-24,4,True,0.0,7,8,True,True,51,2,0.0392156862745098,23,True,True,False,False,False
U0000135,2025-02-15,퍼포먼스광고,iOS,동의,False,22,7,2025-02-21,3,False,,7,5,False,False,7,0,,0,False,,False,False,False
U0000136,2025-05-20,퍼포먼스광고,iOS,동의,False,41,10,2025-05-30,3,False,,7,10,False,False,10,0,,6,False,,False,False,False
U0000137,2025-02-08,퍼포먼스광고,Android,미동의,False,79,9,2025-02-16,4,False,,7,22,True,True,0,0,,0,False,,False,False,True
U0000138,2025-04-09,오가닉,iOS,미동의,False,135,11,2025-04-19,4,True,0.0,7,39,True,True,0,0,,0,False,False,False,True,False
U0000139,2025-02-27,퍼포먼스광고,Unknown,동의,False,55,10,2025-03-08,4,False,,7,11,False,False,10,1,0.1,2,False,,False,False,False
U0000140,2025-05-13,퍼포먼스광고,iOS,동의,False,12,1,2025-05-13,4,False,,1,5,True,False,1,0,,1,False,,False,False,False
U0000141,2025-03-29,퍼포먼스광고,iOS,동의,False,104,8,2025-04-05,4,False,,7,31,True,True,8,2,0.25,2,False,,False,False,False
U0000142,2025-01-14,퍼포먼스광고,iOS,동의,False,49,12,2025-01-26,4,True,0.0,7,5,False,False,12,0,,3,False,False,False,False,False
U0000143,2025-02-08,오가닉,iOS,동의,False,3,1,2025-02-08,0,False,,1,0,False,False,1,0,,0,False,,False,False,True
U0000144,2025-02-02,퍼포먼스광고,Android,미동의,False,495,79,2025-05-02,4,False,,7,12,True,True,0,0,,0,True,,False,False,False
U0000145,2025-03-24,오가닉,Android,동의,False,73,14,2025-04-08,4,True,0.0,7,13,True,True,14,1,0.07142857142857142,3,False,False,False,True,False
U0000146,2025-01-12,퍼포먼스광고,Android,미동의,False,26,6,2025-01-17,4,True,0.0,6,10,True,True,0,0,,0,False,False,False,False,False
U0000147,2025-02-14,퍼포먼스광고,Android,동의,False,8,1,2025-02-14,2,True,0.0,1,2,True,True,1,0,,1,False,False,False,False,True
U0000148,2025-02-27,오가닉,iOS,동의,False,525,74,2025-05-27,4,True,0.0,7,31,True,True,74,6,0.08108108108108109,33,True,True,False,False,False
U0000149,2025-04-18,오가닉,iOS,동의,False,22,2,2025-04-19,3,True,0.0,2,8,False,False,2,1,0.5,0,False,False,False,True,False
U0000150,2025-01-07,퍼포먼스광고,iOS,동의,False,3,1,2025-01-07,0,False,,1,0,False,False,1,0,,0,False,,False,False,False
U0000151,2025-03-17,퍼포먼스광고,iOS,동의,False,64,13,2025-03-29,4,False,,7,12,False,False,13,1,0.07692307692307693,5,False,,False,False,False
U0000152,2025-03-14,오가닉,Android,미동의,True,24,5,2025-03-19,4,False,,5,11,True,True,0,0,,0,False,,False,True,False
U0000153,2025-01-09,퍼포먼스광고,iOS,미동의,False,471,79,2025-04-08,4,True,0.0,7,35,True,True,0,0,,0,True,True,False,False,False
U0000154,2025-02-01,퍼포먼스광고,iOS,동의,False,47,8,2025-02-08,4,False,,7,13,True,True,8,1,0.125,1,False,,False,False,False
U0000155,2025-04-21,퍼포먼스광고,Android,동의,False,14,1,2025-04-21,3,False,,1,5,True,True,1,0,,0,False,,False,False,False
U0000156,2025-02-08,퍼포먼스광고,Android,동의,False,256,56,2025-05-06,4,False,,7,17,True,True,56,10,0.17857142857142858,9,False,,False,False,True
U0000157,2025-02-05,오가닉,iOS,미동의,False,435,77,2025-05-05,4,True,0.0,7,16,True,True,0,0,,0,True,True,False,False,False
U0000158,2025-04-30,퍼포먼스광고,Android,동의,False,54,6,2025-05-05,4,False,,6,9,True,True,6,0,,4,False,,False,False,False
U0000159,2025-05-02,퍼포먼스광고,iOS,동의,False,35,3,2025-05-04,3,False,,3,8,True,True,3,1,0.3333333333333333,1,False,,False,False,False
U0000160,2025-02-21,오가닉,iOS,미동의,False,37,7,2025-02-27,4,False,,7,19,False,False,0,0,,0,False,,False,True,False
U0000161,2025-03-16,퍼포먼스광고,iOS,동의,False,9,1,2025-03-16,2,True,0.0,1,2,True,True,1,0,,0,False,False,False,False,False
U0000162,2025-02-11,오가닉,Android,동의,False,483,75,2025-05-10,4,False,,7,16,True,True,74,6,0.08108108108108109,27,True,,False,False,True
U0000163,2025-02-16,오가닉,iOS,미동의,False,25,9,2025-02-24,4,False,,7,8,False,False,0,0,,0,False,,False,False,False
U0000164,2025-04-16,퍼포먼스광고,iOS,미동의,False,44,13,2025-05-02,4,False,,7,12,False,False,0,0,,0,False,,False,False,False
U0000165,2025-03-19,퍼포먼스광고,iOS,미동의,False,48,7,2025-03-25,4,False,,7,10,True,True,0,0,,0,False,,False,False,False
U0000166,2025-04-06,퍼포먼스광고,iOS,동의,False,494,74,2025-06-30,4,False,,7,27,True,True,75,11,0.14666666666666667,38,True,,False,False,False
U0000167,2025-02-25,오가닉,iOS,미동의,False,24,8,2025-03-13,4,False,,7,10,True,True,1,0,,1,False,,False,False,False
U0000168,2025-05-03,퍼포먼스광고,iOS,동의,False,6,1,2025-05-03,1,False,,1,2,False,False,1,0,,1,False,,False,False,False
U0000169,2025-01-05,퍼포먼스광고,iOS,미동의,False,8,1,2025-01-05,1,False,,1,1,True,True,0,0,,0,False,,False,False,False
U0000170,2025-04-06,오가닉,iOS,미동의,False,479,72,2025-06-30,4,False,,7,44,True,True,0,0,,0,True,,False,False,False
U0000171,2025-02-17,퍼포먼스광고,Android,미동의,False,18,4,2025-02-20,2,True,0.0,4,3,True,True,0,0,,0,False,False,False,False,False
U0000172,2025-01-28,오가닉,iOS,동의,False,35,5,2025-02-01,3,True,0.0,5,7,True,True,5,3,0.6,0,False,False,False,False,False
U0000173,2025-02-24,오가닉,Android,동의,False,56,10,2025-03-05,4,False,,7,18,False,False,10,0,,0,False,,False,False,False
U0000174,2025-02-18,퍼포먼스광고,Android,동의,False,20,4,2025-02-21,3,False,,4,6,False,False,4,1,0.25,0,False,,False,False,False
U0000175,2025-03-26,퍼포먼스광고,iOS,미동의,False,5,1,2025-03-26,1,False,,1,1,False,False,0,0,,0,False,,False,True,False
U0000176,2025-05-26,오가닉,Android,동의,False,25,5,2025-05-30,4,True,0.0,5,9,False,False,5,0,,2,False,False,False,True,False
U0000177,2025-02-03,퍼포먼스광고,Android,동의,False,223,54,2025-05-03,4,False,,7,7,False,False,54,11,0.2037037037037037,11,False,,False,False,False
U0000178,2025-04-08,오가닉,iOS,동의,False,26,5,2025-04-12,4,True,0.0,5,8,True,True,5,0,,2,False,False,False,False,False
U0000179,2025-04-04,오가닉,iOS,동의,False,29,3,2025-04-06,4,False,,3,8,True,True,3,0,,2,False,,False,False,False
U0000180,2025-05-21,퍼포먼스광고,iOS,미동의,False,52,4,2025-05-24,4,True,0.0,4,16,True,True,0,0,,0,False,False,False,False,False
U0000181,2025-03-28,퍼포먼스광고,Android,동의,False,32,4,2025-03-31,4,False,,4,13,False,False,4,2,0.5,0,False,,False,True,False
U0000182,2025-03-03,퍼포먼스광고,iOS,동의,False,17,4,2025-03-06,2,True,0.0,4,5,False,False,4,0,,4,False,False,False,False,False
U0000183,2025-04-09,퍼포먼스광고,Android,미동의,False,431,78,2025-06-30,4,False,,7,27,True,True,0,0,,0,True,,False,False,False
U0000184,2025-01-21,오가닉,Android,동의,False,51,8,2025-01-29,4,True,0.0,7,14,True,True,8,2,0.25,0,False,False,False,False,False
U0000185,2025-03-18,퍼포먼스광고,iOS,미동의,False,255,71,2025-06-15,4,True,0.0,7,18,True,True,0,0,,0,True,True,False,False,False
U0000186,2025-02-12,퍼포먼스광고,Android,미동의,False,210,57,2025-05-12,4,False,,7,19,False,False,2,0,,1,True,,False,False,True
U0000187,2025-05-10,퍼포먼스광고,Android,동의,False,33,4,2025-05-13,4,True,0.0,4,7,True,True,4,0,,1,False,False,False,False,False
