User_ID,가입일자,가입경로,기기,알림수신동의여부,알림수신동의_변경일자,signup_during_outage
U0000039,2025-05-13,오가닉,Android,미동의,2025-05-30,False
U0000040,2025-02-18,퍼포먼스광고,Android,미동의,,False
U0000041,2025-05-14,퍼포먼스광고,Android,동의,,False
U0000042,2025-02-27,퍼포먼스광고,iOS,동의,,False
U0000043,2025-04-21,오가닉,iOS,동의,2025-06-11,False
U0000044,2025-05-08,Unknown,Android,동의,,False
U0000045,2025-02-26,퍼포먼스광고,iOS,미동의,2025-05-26,False
U0000046,2025-04-29,퍼포먼스광고,iOS,미동의,,False
U0000047,2025-02-09,퍼포먼스광고,iOS,동의,,False
U0000048,2025-02-14,오가닉,iOS,동의,,False
U0000049,2025-01-19,퍼포먼스광고,iOS,동의,,False
U0000050,2025-03-02,오가닉,iOS,미동의,,False
U0000051,2025-03-24,퍼포먼스광고,iOS,동의,,False
U0000052,2025-05-08,퍼포먼스광고,iOS,동의,,False
U0000053,2025-01-19,오가닉,iOS,미동의,,False
U0000054,2025-02-12,오가닉,iOS,미동의,,False
U0000055,2025-01-15,오가닉,Android,미동의,2025-04-24,False
U0000056,2025-05-15,오가닉,Android,동의,,False
U0000057,2025-05-19,오가닉,iOS,동의,,False
U0000058,2025-02-02,오가닉,iOS,동의,2025-04-02,False
U0000059,2025-05-18,퍼포먼스광고,Android,동의,,False
U0000060,2025-02-23,오가닉,iOS,동의,,False
U0000061,2025-02-08,오가닉,Android,동의,2025-03-26,False
U0000062,2025-03-28,오가닉,iOS,동의,2025-06-28,False
U0000063,2025-02-17,오가닉,Android,미동의,,False
U0000064,2025-05-24,오가닉,Android,동의,,False
U0000065,2025-03-28,퍼포먼스광고,Android,동의,,False
U0000066,2025-05-25,오가닉,Unknown,동의,,False
U0000067,2025-05-22,오가닉,Android,동의,,False
U0000068,2025-02-01,퍼포먼스광고,Android,동의,,False
U0000069,2025-02-22,퍼포먼스광고,Android,동의,2025-04-27,False
U0000070,2025-03-29,오가닉,Android,미동의,2025-05-04,False
U0000071,2025-03-25,퍼포먼스광고,iOS,동의,,False
U0000072,2025-02-18,퍼포먼스광고,Android,미동의,,False
U0000073,2025-03-28,오가닉,iOS,미동의,2025-05-14,False
U0000074,2025-04-06,오가닉,iOS,동의,,False
U0000075,2025-04-18,퍼포먼스광고,iOS,미동의,,False
U0000076,2025-02-13,퍼포먼스광고,Android,동의,,False
U0000077,2025-01-18,퍼포먼스광고,Android,미동의,,False
U0000078,2025-04-27,오가닉,iOS,동의,,False
U0000079,2025-01-05,오가닉,iOS,동의,,False
U0000080,2025-02-06,오가닉,Android,동의,,False
U0000081,2025-05-01,퍼포먼스광고,Android,동의,,False
U0000082,2025-01-10,퍼포먼스광고,iOS,동의,,False
U0000083,2025-02-02,오가닉,Android,동의,,False
U0000084,2025-02-25,퍼포먼스광고,Unknown,동의,,False
U0000085,2025-02-06,퍼포먼스광고,iOS,미동의,,False
U0000086,2025-02-16,오가닉,iOS,동의,,False
U0000087,2025-01-27,퍼포먼스광고,iOS,미동의,,False
U0000088,2025-01-25,퍼포먼스광고,iOS,동의,,False
U0000089,2025-01-18,퍼포먼스광고,Android,미동의,,False
U0000090,2025-01-28,퍼포먼스광고,iOS,미동의,,False
U0000091,2025-01-26,퍼포먼스광고,Android,동의,,False
U0000092,2025-01-06,퍼포먼스광고,Android,동의,,False
U0000093,2025-04-08,퍼포먼스광고,iOS,동의,,False
U0000094,2025-03-29,퍼포먼스광고,iOS,동의,,False
U0000095,2025-02-23,오가닉,Android,동의,2025-04-13,False
U0000096,2025-01-23,퍼포먼스광고,iOS,동의,,False
U0000097,2025-02-01,오가닉,Android,동의,,False
U0000098,2025-03-17,오가닉,iOS,동의,,False
U0000099,2025-02-09,퍼포먼스광고,Android,동의,,False
U0000100,2025-04-05,오가닉,Android,미동의,,False
U0000101,2025-02-16,퍼포먼스광고,Android,동의,,False
U0000102,2025-02-09,오가닉,iOS,동의,,False
U0000103,2025-05-05,오가닉,Android,미동의,,False
U0000104,2025-01-30,오가닉,Android,동의,2025-05-08,False
U0000105,2025-01-19,퍼포먼스광고,iOS,동의,,False
U0000106,2025-05-22,오가닉,iOS,동의,,False
U0000107,2025-05-19,퍼포먼스광고,Android,동의,,False
U0000108,2025-01-23,오가닉,Android,동의,2025-02-09,False
U0000109,2025-01-24,오가닉,iOS,미동의,,False
U0000110,2025-02-14,오가닉,iOS,동의,,False
U0000111,2025-02-27,퍼포먼스광고,iOS,미동의,,False
U0000112,2025-04-29,퍼포먼스광고,iOS,동의,2025-05-19,False
U0000113,2025-03-10,퍼포먼스광고,Unknown,동의,,True
U0000114,2025-02-04,오가닉,Android,미동의,,False
U0000115,2025-03-20,오가닉,Android,미동의,2025-04-08,False
U0000116,2025-02-18,퍼포먼스광고,iOS,동의,,False
U0000117,2025-02-18,오가닉,iOS,미동의,,False
U0000118,2025-02-02,퍼포먼스광고,iOS,동의,2025-05-11,False
U0000119,2025-05-19,오가닉,iOS,동의,,False
U0000120,2025-01-23,오가닉,iOS,미동의,,False
U0000121,2025-01-16,오가닉,Android,동의,,False
U0000122,2025-03-16,퍼포먼스광고,iOS,동의,,False
U0000123,2025-03-15,퍼포먼스광고,Android,동의,2025-05-19,False
U0000124,2025-01-23,퍼포먼스광고,iOS,동의,,False
U0000125,2025-03-18,오가닉,iOS,동의,,False
U0000126,2025-02-13,오가닉,Android,동의,,False
U0000127,2025-02-15,오가닉,iOS,동의,,False
U0000128,2025-02-14,퍼포먼스광고,Android,동의,,False
U0000129,2025-01-22,오가닉,iOS,미동의,,False
U0000130,2025-05-17,오가닉,Android,동의,,False
U0000131,2025-02-15,오가닉,iOS,미동의,,False
U0000132,2025-02-26,오가닉,Android,동의,,False
U0000133,2025-01-12,오가닉,iOS,동의,,False
U0000134,2025-02-26,퍼포먼스광고,iOS,동의,,False
U0000135,2025-02-15,퍼포먼스광고,iOS,동의,,False
U0000136,2025-05-20,퍼포먼스광고,iOS,동의,,False
U0000137,2025-02-08,퍼포먼스광고,Android,미동의,,False
U0000138,2025-04-09,오가닉,iOS,미동의,2025-05-02,False
U0000139,2025-02-27,퍼포먼스광고,Unknown,동의,,False
U0000140,2025-05-13,퍼포먼스광고,iOS,동의,,False
U0000141,2025-03-29,퍼포먼스광고,iOS,동의,,False
U0000142,2025-01-14,퍼포먼스광고,iOS,동의,,False
U0000143,2025-02-08,오가닉,iOS,동의,,False
U0000144,2025-02-02,퍼포먼스광고,Android,미동의,,False
U0000145,2025-03-24,오가닉,Android,동의,2025-04-12,False
U0000146,2025-01-12,퍼포먼스광고,Android,미동의,,False
U0000147,2025-02-14,퍼포먼스광고,Android,동의,,False
U0000148,2025-02-27,오가닉,iOS,동의,,False
U0000149,2025-04-18,오가닉,iOS,동의,2025-06-19,False
U0000150,2025-01-07,퍼포먼스광고,iOS,동의,,False
U0000151,2025-03-17,퍼포먼스광고,iOS,동의,,False
U0000152,2025-03-14,오가닉,Android,미동의,2025-04-13,True
U0000153,2025-01-09,퍼포먼스광고,iOS,미동의,,False
U0000154,2025-02-01,퍼포먼스광고,iOS,동의,,False
U0000155,2025-04-21,퍼포먼스광고,Android,동의,,False
U0000156,2025-02-08,퍼포먼스광고,Android,동의,,False
U0000157,2025-02-05,오가닉,iOS,미동의,,False
U0000158,2025-04-30,퍼포먼스광고,Android,동의,,False
U0000159,2025-05-02,퍼포먼스광고,iOS,동의,,False
U0000160,2025-02-21,오가닉,iOS,미동의,2025-03-20,False
U0000161,2025-03-16,퍼포먼스광고,iOS,동의,,False
U0000162,2025-02-11,오가닉,Android,동의,,False
U0000163,2025-02-16,오가닉,iOS,미동의,,False
U0000164,2025-04-16,퍼포먼스광고,iOS,미동의,,False
U0000165,2025-03-19,퍼포먼스광고,iOS,미동의,,False
U0000166,2025-04-06,퍼포먼스광고,iOS,동의,,False
U0000167,2025-02-25,오가닉,iOS,미동의,,False
U0000168,2025-05-03,퍼포먼스광고,iOS,동의,,False
U0000169,2025-01-05,퍼포먼스광고,iOS,미동의,,False
U0000170,2025-04-06,오가닉,iOS,미동의,,False
U0000171,2025-02-17,퍼포먼스광고,Android,미동의,,False
U0000172,2025-01-28,오가닉,iOS,동의,,False
U0000173,2025-02-24,오가닉,Android,동의,,False
U0000174,2025-02-18,퍼포먼스광고,Android,동의,,False
U0000175,2025-03-26,퍼포먼스광고,iOS,미동의,2025-04-11,False
U0000176,2025-05-26,오가닉,Android,동의,2025-06-23,False
U0000177,2025-02-03,퍼포먼스광고,Android,동의,,False
U0000178,2025-04-08,오가닉,iOS,동의,,False
U0000179,2025-04-04,오가닉,iOS,동의,,False
U0000180,2025-05-21,퍼포먼스광고,iOS,미동의,,False
U0000181,2025-03-28,퍼포먼스광고,Android,동의,2025-05-09,False
U0000182,2025-03-03,퍼포먼스광고,iOS,동의,,False
U0000183,2025-04-09,퍼포먼스광고,Android,미동의,,False
U0000184,2025-01-21,오가닉,Android,동의,,False
U0000185,2025-03-18,퍼포먼스광고,iOS,미동의,,False
U0000186,2025-02-12,퍼포먼스광고,Android,미동의,,False
U0000187,2025-05-10,퍼포먼스광고,Android,동의,,False
U0000188,2025-05-25,Unknown,iOS,동의,,False
U0000189,2025-05-20,오가닉,iOS,동의,2025-06-28,False
U0000190,2025-02-06,퍼포먼스광고,iOS,미동의,,False
U0000191,2025-02-10,오가닉,iOS,동의,,False
U0000192,2025-04-20,퍼포먼스광고,Android,동의,,False
U0000193,2025-02-14,퍼포먼스광고,iOS,미동의,2025-03-29,False
U0000194,2025-01-29,퍼포먼스광고,iOS,미동의,,False
U0000195,2025-03-20,퍼포먼스광고,Android,동의,2025-05-21,False
U0000196,2025-02-04,오가닉,iOS,동의,,False
U0000197,2025-03-05,오가닉,Android,미동의,,False
U0000198,2025-05-04,오가닉,iOS,동의,,False
U0000199,2025-03-12,퍼포먼스광고,iOS,동의,,True
U0000200,2025-02-20,퍼포먼스광고,iOS,동의,,False
U0000201,2025-04-03,퍼포먼스광고,Android,동의,,False
U0000202,2025-05-12,오가닉,iOS,미동의,,False
U0000203,2025-02-26,퍼포먼스광고,iOS,동의,,False
U0000204,2025-02-06,오가닉,iOS,동의,,False
U0000205,2025-05-19,퍼포먼스광고,Android,동의,2025-06-11,False
U0000206,2025-04-01,오가닉,Android,동의,,False
U0000207,2025-05-25,오가닉,Android,동의,,False
U0000208,2025-02-17,오가닉,Android,동의,2025-04-27,False
U0000209,2025-02-01,퍼포먼스광고,Android,동의,,False
U0000210,2025-04-06,오가닉,Android,미동의,,False
U0000211,2025-01-29,오가닉,iOS,동의,,False
U0000212,2025-02-09,퍼포먼스광고,Android,동의,,False
U0000213,2025-02-10,퍼포먼스광고,iOS,동의,2025-03-07,False
U0000214,2025-02-25,오가닉,iOS,동의,,False
U0000215,2025-03-28,퍼포먼스광고,iOS,동의,,False
U0000216,2025-04-27,퍼포먼스광고,Android,동의,,False
U0000217,2025-02-20,오가닉,Android,미동의,,False
U0000218,2025-05-12,오가닉,iOS,미동의,,False
U0000219,2025-01-18,퍼포먼스광고,Android,동의,,False
U0000220,2025-04-07,퍼포먼스광고,iOS,동의,,False
U0000221,2025-02-18,오가닉,iOS,동의,,False
U0000222,2025-03-23,오가닉,iOS,미동의,,False
U0000223,2025-02-25,퍼포먼스광고,iOS,동의,,False
U0000224,2025-02-02,오가닉,Android,동의,,False
U0000225,2025-05-14,퍼포먼스광고,Android,동의,,False
U0000226,2025-05-11,퍼포먼스광고,Android,미동의,,False
U0000227,2025-03-20,오가닉,iOS,동의,,False
U0000228,2025-02-28,퍼포먼스광고,Android,동의,,False
U0000229,2025-03-27,오가닉,iOS,동의,,False
U0000230,2025-04-23,오가닉,Android,동의,,False
U0000231,2025-02-08,오가닉,iOS,동의,,False
U0000232,2025-02-10,퍼포먼스광고,Android,동의,2025-04-19,False
U0000233,2025-04-04,오가닉,iOS,미동의,,False
U0000234,2025-02-06,오가닉,Android,동의,,False
U0000235,2025-04-08,퍼포먼스광고,iOS,동의,,False
U0000236,2025-04-10,퍼포먼스광고,Android,미동의,,False
U0000237,2025-02-11,퍼포먼스광고,Android,동의,,False
U0000238,2025-02-17,오가닉,iOS,미동의,,False
U0000239,2025-05-20,오가닉,Android,동의,2025-06-04,False
U0000240,2025-03-12,퍼포먼스광고,Android,동의,,True
U0000241,2025-05-11,퍼포먼스광고,iOS,동의,,False
U0000242,2025-03-17,오가닉,iOS,미동의,,False
U0000243,2025-04-10,오가닉,iOS,미동의,,False
U0000244,2025-03-26,오가닉,Android,동의,,False
U0000245,2025-02-11,퍼포먼스광고,Android,동의,,False
U0000246,2025-03-15,퍼포먼스광고,iOS,동의,2025-05-18,False
U0000247,2025-02-16,오가닉,iOS,동의,2025-04-04,False
U0000248,2025-01-16,퍼포먼스광고,iOS,동의,2025-04-27,False
U0000249,2025-02-22,퍼포먼스광고,iOS,동의,,False
U0000250,2025-03-30,오가닉,iOS,미동의,,False
U0000251,2025-02-04,퍼포먼스광고,iOS,미동의,,False
U0000252,2025-01-20,퍼포먼스광고,Android,동의,,False
U0000253,2025-05-18,오가닉,Android,미동의,,False
U0000254,2025-05-03,퍼포먼스광고,iOS,미동의,,False
U0000255,2025-02-13,퍼포먼스광고,iOS,미동의,,False
U0000256,2025-05-07,오가닉,Android,미동의,,False
U0000257,2025-02-03,퍼포먼스광고,Android,미동의,,False
U0000258,2025-03-08,오가닉,iOS,동의,,False
U0000259,2025-04-30,퍼포먼스광고,iOS,동의,2025-05-17,False
U0000260,2025-03-03,오가닉,Android,동의,,False
U0000261,2025-02-13,오가닉,iOS,동의,2025-04-21,False
U0000262,2025-05-12,오가닉,iOS,동의,,False
U0000263,2025-04-10,퍼포먼스광고,Android,동의,,False
U0000264,2025-04-11,퍼포먼스광고,Android,미동의,2025-05-06,False
U0000265,2025-05-03,오가닉,Android,동의,,False
U0000266,2025-04-06,퍼포먼스광고,Android,동의,,False
U0000267,2025-02-12,오가닉,iOS,미동의,,False
U0000268,2025-04-16,퍼포먼스광고,iOS,동의,,False
U0000269,2025-04-20,오가닉,Android,동의,,False
U0000270,2025-02-04,오가닉,iOS,동의,,False
U0000271,2025-02-26,오가닉,Android,동의,2025-03-18,False
U0000272,2025-04-10,퍼포먼스광고,iOS,미동의,,False
U0000273,2025-04-03,퍼포먼스광고,iOS,동의,,False
U0000274,2025-02-13,오가닉,iOS,동의,,False
U0000275,2025-01-24,퍼포먼스광고,iOS,미동의,,False
U0000276,2025-02-04,퍼포먼스광고,iOS,미동의,,False
U0000277,2025-05-09,퍼포먼스광고,Unknown,동의,,False
U0000278,2025-01-06,오가닉,iOS,동의,,False
U0000279,2025-02-27,오가닉,Android,동의,,False
U0000280,2025-02-17,퍼포먼스광고,iOS,동의,,False
U0000281,2025-05-19,퍼포먼스광고,iOS,동의,,False
U0000282,2025-04-30,오가닉,Android,동의,,False
U0000283,2025-02-02,오가닉,Android,미동의,,False
U0000284,2025-03-30,오가닉,Android,미동의,,False
U0000285,2025-02-08,퍼포먼스광고,iOS,미동의,2025-05-21,False
U0000286,2025-04-03,퍼포먼스광고,Android,동의,,False
U0000287,2025-01-09,퍼포먼스광고,Android,동의,,False
U0000288,2025-02-02,오가닉,iOS,미동의,,False
U0000289,2025-05-18,오가닉,iOS,동의,,False
U0000290,2025-01-27,퍼포먼스광고,iOS,동의,,False
U0000291,2025-02-03,퍼포먼스광고,iOS,동의,,False
U0000292,2025-02-12,오가닉,Android,미동의,,False
U0000293,2025-02-12,퍼포먼스광고,iOS,동의,,False
U0000294,2025-02-18,퍼포먼스광고,iOS,미동의,,False
U0000295,2025-01-28,Unknown,Android,동의,,False
U0000296,2025-02-03,퍼포먼스광고,iOS,동의,,False
U0000297,2025-03-28,퍼포먼스광고,iOS,동의,,False
U0000298,2025-01-09,오가닉,Android,동의,2025-04-30,False
U0000299,2025-03-07,퍼포먼스광고,Android,미동의,,False
U0000300,2025-02-09,퍼포먼스광고,iOS,미동의,,False
U0000301,2025-02-12,오가닉,Android,동의,,False
U0000302,2025-05-13,오가닉,Android,동의,,False
U0000303,2025-02-17,퍼포먼스광고,Android,동의,,False
U0000304,2025-05-18,오가닉,iOS,동의,,False
U0000305,2025-03-14,퍼포먼스광고,iOS,미동의,,True
U0000306,2025-03-26,퍼포먼스광고,Android,미동의,,False
U0000307,2025-02-08,퍼포먼스광고,Android,동의,,False
U0000308,2025-03-20,오가닉,iOS,미동의,,False
U0000309,2025-05-26,퍼포먼스광고,iOS,동의,,False
U0000310,2025-02-20,퍼포먼스광고,Android,동의,,False
U0000311,2025-05-17,퍼포먼스광고,iOS,동의,,False
U0000312,2025-02-25,오가닉,Android,동의,,False
U0000313,2025-02-24,퍼포먼스광고,iOS,동의,,False
U0000314,2025-05-09,오가닉,iOS,동의,,False
U0000315,2025-05-01,오가닉,iOS,동의,,False
U0000316,2025-01-18,퍼포먼스광고,Android,동의,,False
U0000317,2025-03-05,퍼포먼스광고,iOS,동의,,False
U0000318,2025-03-29,오가닉,iOS,동의,,False
U0000319,2025-02-03,오가닉,iOS,동의,,False
U0000320,2025-02-05,오가닉,Android,동의,,False
U0000321,2025-04-27,퍼포먼스광고,iOS,동의,,False
U0000322,2025-04-05,오가닉,iOS,동의,,False
U0000323,2025-04-29,오가닉,iOS,미동의,,False
U0000324,2025-01-18,퍼포먼스광고,iOS,미동의,,False
U0000325,2025-01-04,오가닉,Android,동의,,False
U0000326,2025-03-24,퍼포먼스광고,Android,동의,,False
U0000327,2025-02-16,퍼포먼스광고,iOS,동의,,False
U0000328,2025-05-15,퍼포먼스광고,Android,미동의,,False
U0000329,2025-02-13,오가닉,Android,미동의,,False
U0000330,2025-03-21,퍼포먼스광고,iOS,미동의,,False
U0000331,2025-01-01,퍼포먼스광고,iOS,동의,,False
U0000332,2025-02-15,오가닉,iOS,동의,2025-05-25,False
U0000333,2025-03-19,오가닉,iOS,동의,,False
U0000334,2025-01-11,오가닉,iOS,동의,,False
U0000335,2025-04-30,오가닉,iOS,동의,2025-05-27,False
U0000336,2025-01-04,오가닉,iOS,동의,,False
U0000337,2025-04-01,오가닉,Android,동의,,False
U0000338,2025-04-29,오가닉,Android,동의,,False
U0000339,2025-04-03,퍼포먼스광고,Android,미동의,2025-05-09,False
U0000340,2025-02-12,오가닉,Android,미동의,,False
U0000341,2025-01-04,퍼포먼스광고,Android,동의,2025-03-23,False
U0000342,2025-05-04,오가닉,Android,동의,,False
U0000343,2025-03-15,오가닉,iOS,동의,,False
U0000344,2025-03-12,퍼포먼스광고,Android,미동의,,True
U0000345,2025-03-25,퍼포먼스광고,Android,미동의,,False
U0000346,2025-03-02,오가닉,iOS,동의,,False
U0000347,2025-04-06,오가닉,iOS,미동의,,False
U0000348,2025-05-04,오가닉,iOS,미동의,,False
U0000349,2025-01-11,오가닉,Android,동의,,False
U0000350,2025-03-06,오가닉,iOS,미동의,,False
U0000351,2025-03-22,오가닉,iOS,미동의,,False
U0000352,2025-01-06,오가닉,iOS,미동의,,False
U0000353,2025-03-02,오가닉,Android,미동의,,False
U0000354,2025-01-04,오가닉,iOS,동의,,False
U0000355,2025-01-14,오가닉,iOS,동의,2025-05-09,False
U0000356,2025-05-24,퍼포먼스광고,iOS,동의,,False
U0000357,2025-03-06,오가닉,Android,동의,,False
U0000358,2025-02-19,오가닉,Android,미동의,,False
U0000359,2025-03-03,퍼포먼스광고,iOS,동의,,False
U0000360,2025-02-08,오가닉,iOS,미동의,,False
U0000361,2025-01-31,퍼포먼스광고,Android,동의,2025-04-06,False
U0000362,2025-05-03,오가닉,iOS,동의,,False
U0000363,2025-04-22,퍼포먼스광고,iOS,동의,,False
U0000364,2025-02-09,퍼포먼스광고,iOS,동의,,False
U0000365,2025-05-21,오가닉,Android,동의,,False
U0000366,2025-02-04,퍼포먼스광고,Android,미동의,,False
U0000367,2025-04-25,퍼포먼스광고,Android,동의,,False
U0000368,2025-04-08,퍼포먼스광고,iOS,미동의,,False
U0000369,2025-04-18,오가닉,iOS,동의,,False
U0000370,2025-02-13,오가닉,Android,미동의,,False
U0000371,2025-05-25,퍼포먼스광고,Android,동의,,False
U0000372,2025-05-19,퍼포먼스광고,iOS,동의,,False
U0000373,2025-03-14,오가닉,iOS,동의,,True
U0000374,2025-01-25,오가닉,iOS,동의,,False
U0000375,2025-03-28,오가닉,iOS,동의,,False
U0000376,2025-02-06,퍼포먼스광고,Android,동의,,False
U0000377,2025-01-21,퍼포먼스광고,iOS,미동의,,False
U0000378,2025-04-27,퍼포먼스광고,Android,동의,,False
U0000379,2025-04-07,오가닉,iOS,동의,2025-05-29,False
U0000380,2025-02-11,오가닉,Android,미동의,,False
U0000381,2025-02-02,퍼포먼스광고,iOS,동의,,False
U0000382,2025-05-24,오가닉,iOS,동의,,False
U0000383,2025-02-20,퍼포먼스광고,iOS,미동의,,False
U0000384,2025-02-17,오가닉,iOS,미동의,,False
U0000385,2025-01-07,퍼포먼스광고,iOS,미동의,,False
U0000386,2025-01-10,퍼포먼스광고,iOS,동의,,False
U0000387,2025-04-01,퍼포먼스광고,iOS,동의,2025-05-21,False
U0000388,2025-01-09,퍼포먼스광고,iOS,동의,,False
U0000389,2025-03-03,오가닉,iOS,미동의,,False
U0000390,2025-04-23,오가닉,iOS,동의,,False
U0000391,2025-02-03,퍼포먼스광고,iOS,동의,,False
U0000392,2025-03-29,오가닉,iOS,동의,,False
U0000393,2025-01-25,퍼포먼스광고,Android,동의,,False
U0000394,2025-02-15,오가닉,Android,동의,,False
U0000395,2025-03-22,오가닉,Android,동의,,False
U0000396,2025-01-05,퍼포먼스광고,Android,미동의,2025-01-27,False
U0000397,2025-04-06,오가닉,iOS,동의,,False
U0000398,2025-01-26,퍼포먼스광고,iOS,동의,,False
U0000399,2025-02-14,퍼포먼스광고,Android,동의,,False
U0000400,2025-03-07,퍼포먼스광고,Android,미동의,,False
U0000401,2025-02-15,퍼포먼스광고,Android,미동의,,False
U0000402,2025-02-09,오가닉,iOS,동의,,False
U0000403,2025-05-15,퍼포먼스광고,Android,미동의,,False
U0000404,2025-04-26,퍼포먼스광고,iOS,동의,,False
U0000405,2025-02-24,퍼포먼스광고,Android,동의,,False
U0000406,2025-01-09,퍼포먼스광고,iOS,미동의,,False
U0000407,2025-01-26,오가닉,iOS,동의,,False
U0000408,2025-03-02,퍼포먼스광고,iOS,동의,,False
U0000409,2025-01-23,퍼포먼스광고,Android,미동의,,False
U0000410,2025-02-12,퍼포먼스광고,Android,미동의,2025-04-21,False
U0000411,2025-02-19,퍼포먼스광고,iOS,동의,,False
U0000412,2025-05-01,오가닉,iOS,동의,,False
U0000413,2025-01-20,Unknown,Android,미동의,,False
U0000414,2025-04-26,퍼포먼스광고,iOS,동의,,False
U0000415,2025-04-12,오가닉,Android,미동의,,False
U0000416,2025-02-03,퍼포먼스광고,iOS,동의,,False
U0000417,2025-02-12,오가닉,iOS,미동의,2025-03-31,False
U0000418,2025-02-21,오가닉,Android,동의,,False
U0000419,2025-01-26,오가닉,Android,동의,,False
U0000420,2025-02-11,퍼포먼스광고,iOS,동의,,False
U0000421,2025-01-19,오가닉,Android,동의,,False
U0000422,2025-04-26,퍼포먼스광고,iOS,미동의,,False
U0000423,2025-03-07,퍼포먼스광고,iOS,동의,,False
U0000424,2025-02-01,퍼포먼스광고,iOS,동의,2025-05-22,False
U0000425,2025-05-05,퍼포먼스광고,Android,동의,,False
U0000426,2025-04-24,오가닉,Android,미동의,,False
U0000427,2025-01-21,퍼포먼스광고,iOS,동의,2025-04-08,False
U0000428,2025-05-03,퍼포먼스광고,iOS,동의,,False
U0000429,2025-02-25,퍼포먼스광고,Android,동의,,False
U0000430,2025-03-21,퍼포먼스광고,iOS,미동의,2025-05-22,False
U0000431,2025-02-25,퍼포먼스광고,iOS,미동의,,False
U0000432,2025-02-19,퍼포먼스광고,iOS,동의,,False
U0000433,2025-04-09,퍼포먼스광고,iOS,미동의,,False
U0000434,2025-01-22,퍼포먼스광고,iOS,동의,,False
U0000435,2025-03-10,퍼포먼스광고,Android,동의,,True
U0000436,2025-05-09,오가닉,Android,미동의,,False
U0000437,2025-02-24,오가닉,iOS,동의,,False
U0000438,2025-02-14,퍼포먼스광고,iOS,동의,,False
U0000439,2025-03-30,퍼포먼스광고,iOS,동의,,False
U0000440,2025-05-25,퍼포먼스광고,iOS,미동의,,False
U0000441,2025-02-04,오가닉,iOS,동의,,False
U0000442,2025-02-22,퍼포먼스광고,Android,미동의,,False
U0000443,2025-02-08,퍼포먼스광고,Android,미동의,2025-04-25,False
U0000444,2025-04-29,퍼포먼스광고,iOS,미동의,,False
U0000445,2025-02-22,퍼포먼스광고,iOS,미동의,2025-04-22,False
U0000446,2025-01-21,퍼포먼스광고,Android,동의,,False
U0000447,2025-02-28,오가닉,iOS,동의,,False
U0000448,2025-01-22,오가닉,Android,미동의,,False
U0000449,2025-02-15,퍼포먼스광고,iOS,동의,,False
U0000450,2025-05-09,퍼포먼스광고,Android,미동의,,False
U0000451,2025-02-13,퍼포먼스광고,Android,동의,,False
U0000452,2025-02-16,오가닉,iOS,동의,,False
U0000453,2025-04-08,Unknown,Android,동의,,False
U0000454,2025-05-17,퍼포먼스광고,Android,동의,,False
U0000455,2025-02-06,퍼포먼스광고,iOS,미동의,,False
U0000456,2025-05-16,오가닉,Android,동의,,False
